timestamp,equity,wallet,reserve,margin,side,locked_side,leverage,tp_return_pct,entry_wallet,variant
2022-01-01 08:00:00,999.412,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-01 12:00:00,1013.2385802958869,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-01 16:00:00,1017.3950118740217,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-01 20:00:00,1029.2597061602596,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-02 00:00:00,1017.5135424871046,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-02 04:00:00,1012.4921832787545,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-02 08:00:00,1014.3867866592266,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-02 12:00:00,1017.4799011725161,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-02 16:00:00,1004.2311969160096,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-02 20:00:00,1015.9179380802185,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-03 00:00:00,1000.9164270122068,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-03 04:00:00,1008.407121592317,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-03 08:00:00,1018.5623969307246,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-03 12:00:00,997.3677399303303,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-03 16:00:00,987.1357498184688,999.412,19.412,980.0,1,0,1.5,,999.412,base_1.5x
2022-01-03 20:00:00,988.5248972398103,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-04 00:00:00,992.6527758485355,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-04 04:00:00,986.149786136792,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-04 08:00:00,980.2550527678936,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-04 12:00:00,973.5150841310173,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-04 16:00:00,1000.6624756879744,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-04 20:00:00,1007.6957722678491,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-05 00:00:00,989.6534428476104,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-05 04:00:00,989.9799541011294,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-05 08:00:00,993.9682123655886,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-05 12:00:00,983.3392223457156,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-05 16:00:00,1044.0158447829629,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-05 20:00:00,1083.1950038545372,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-06 00:00:00,1102.1129344023811,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-06 04:00:00,1089.439414184299,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-06 08:00:00,1100.6174940782585,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-06 12:00:00,1098.0304480580473,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-06 16:00:00,1083.591325280189,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
2022-01-06 20:00:00,1093.891299645749,988.5248972398103,19.200535219928543,969.3243620198818,-1,0,1.5,,988.5248972398103,base_1.5x
